cliente_id,idade,genero,renda,score_credito,compra_semanal,cidade,estado,data_cadastro
CLI_00000040,27,X,9909.67,337.98,375.33,Goiania,GO,2020-07-11
CLI_00000041,53,X,24066.44,112.85,394.21,Cuiaba,MT,2022-05-02
CLI_00000042,39,M,19187.48,819.78,247.08,Rondonopolis,SP,2023-03-18
CLI_00000043,79,X,8983.75,279.06,329.27,Cuiaba,SP,2020-11-03
CLI_00000044,49,F,15674.62,222.41,209.13,Sao Paulo,MT,2023-01-11
CLI_00000045,69,M,15996.54,43.21,211.0,Campo Grande,SP,2020-03-07
CLI_00000046,55,X,8459.13,759.5,0,Sao Paulo,GO,2024-11-06
CLI_00000047,50,M,20327.56,994.5,328.16,Vilhena,RO,2021-09-16
CLI_00000048,47,M,3729.5,818.92,306.66,Goiania,GO,2024-07-17
CLI_00000049,55,X,6321.31,229.57,398.36,Rondonopolis,MS,2023-06-02
CLI_00000050,32,F,2883.2,740.89,594.05,Sao Paulo,GO,2021-01-03
CLI_00000051,64,X,17158.93,281.93,306.11,Goiania,MS,2021-05-15
CLI_00000052,16,M,9866.56,328.93,424.78,Vilhena,SP,2021-01-10
CLI_00000053,43,M,5554.4,335.33,404.84,Rondonopolis,MS,2021-09-25
CLI_00000054,16,F,7487.21,89.75,361.02,Goiania,RO,2020-07-01
CLI_00000055,54,M,16186.14,84.48,583.51,Campo Grande,RO,2023-06-24
CLI_00000056,79,F,7963.4,618.71,222.7,Campo Grande,MT,2024-11-14
CLI_00000057,80,F,22855.33,752.87,50.39,Cuiaba,RO,2021-02-01
CLI_00000058,21,F,16363.45,959.52,185.44,Goiania,GO,2024-01-21
CLI_00000059,18,X,13848.36,244.56,285.65,Cuiaba,RO,2024-02-22
CLI_00000060,24,X,18735.56,252.19,465.13,Cuiaba,SP,2021-12-25
CLI_00000061,42,F,18807.92,975.74,152.8,Goiania,SP,2020-10-21
CLI_00000062,41,F,15472.99,331.77,305.6,Rondonopolis,SP,2024-10-05
CLI_00000063,17,M,2643.73,268.77,191.62,Rondonopolis,GO,2022-12-17
CLI_00000064,52,M,12288.36,767.17,96.84,Vilhena,MS,2022-02-16
CLI_00000065,18,M,12123.51,819.9,460.6,Sao Paulo,GO,2021-04-03
CLI_00000066,27,F,18990.17,261.81,267.38,Sao Paulo,MS,2024-11-17
CLI_00000067,51,F,17939.42,231.38,438.55,Cuiaba,MS,2020-08-22
CLI_00000068,73,M,8386.43,140.71,196.25,Sao Paulo,GO,2022-02-27
CLI_00000069,58,F,8924.23,338.27,14.55,Campo Grande,MT,2022-05-12
CLI_00000070,24,M,10485.83,869.97,512.2,Cuiaba,SP,2023-05-28
CLI_00000071,22,M,3620.69,834.68,222.02,Campo Grande,SP,2023-09-11
CLI_00000072,40,M,19886.4,427.75,642.54,Cuiaba,GO,2024-09-07
CLI_00000073,26,F,23416.48,410.89,238.51,Sao Paulo,GO,2020-09-05
CLI_00000074,37,M,11073.83,281.75,245.85,Sao Paulo,SP,2023-11-08
CLI_00000075,54,M,14464.26,394.37,344.22,Campo Grande,RO,2023-09-08
CLI_00000076,73,M,24916.11,449.96,377.33,Campo Grande,RO,2021-04-03
CLI_00000077,38,M,14429.8,319.29,115.18,Campo Grande,MT,2023-07-14
CLI_00000078,42,M,7631.71,752.11,501.06,Goiania,SP,2024-06-05
CLI_00000079,80,X,16185.12,862.86,325.31,Campo Grande,GO,2023-11-15
CLI_00000080,71,M,21398.67,872.89,416.55,Cuiaba,MS,2020-07-23
CLI_00000081,76,X,12857.82,73.14,611.69,Vilhena,GO,2023-04-26
CLI_00000082,29,F,4874.21,522.37,153.9,Rondonopolis,MT,2023-02-18
CLI_00000083,21,F,19818.71,232.58,489.25,Sao Paulo,MS,2022-09-21
CLI_00000084,71,X,19379.49,99.44,195.83,Sao Paulo,RO,2024-04-13
CLI_00000085,49,F,20013.6,1.15,0,Sao Paulo,SP,2021-08-17
CLI_00000086,46,X,7079.99,960.61,182.68,Rondonopolis,SP,2020-01-07
CLI_00000087,79,X,16602.61,81.09,321.88,Sao Paulo,MS,2023-01-23
CLI_00000088,59,X,11209.25,682.57,456.11,Campo Grande,MT,2022-12-28
CLI_00000089,80,F,6084.2,969.86,194.96,Campo Grande,GO,2021-05-25
CLI_00000090,53,F,23855.86,495.76,557.16,Campo Grande,MS,2023-07-22
CLI_00000091,23,X,4683.92,393.46,393.55,Campo Grande,GO,2020-12-02
CLI_00000092,39,M,11901.48,712.03,694.58,Sao Paulo,MT,2020-03-11
CLI_00000093,40,F,16728.74,524.8,172.99,Rondonopolis,GO,2022-06-15
CLI_00000094,37,F,1268.32,279.81,326.21,Sao Paulo,GO,2020-09-25
CLI_00000095,42,M,9687.78,821.57,369.79,Cuiaba,GO,2021-06-18
CLI_00000096,73,F,8894.76,737.32,156.41,Goiania,MT,2023-04-26
CLI_00000097,67,F,10138.51,464.05,317.65,Campo Grande,MT,2024-06-12
CLI_00000098,50,M,23993.01,616.98,249.32,Sao Paulo,SP,2022-05-01
CLI_00000099,24,F,20859.24,107.26,263.95,Goiania,SP,2023-08-05
CLI_00000100,79,F,1407.18,931.06,135.96,Sao Paulo,MS,2024-04-11
CLI_00000101,56,M,9812.23,782.25,387.44,Campo Grande,MS,2023-02-21
CLI_00000102,20,M,14351.75,325.76,347.37,Goiania,MT,2020-05-20
CLI_00000103,26,F,3494.86,498.48,259.17,Campo Grande,MS,2023-08-20
CLI_00000104,46,X,14017.84,773.87,141.92,Cuiaba,SP,2022-05-19
CLI_00000105,50,M,7246.54,260.34,210.73,Campo Grande,MS,2022-10-07
CLI_00000106,57,F,10626.46,992.45,335.74,Vilhena,RO,2021-11-26
CLI_00000107,28,X,12241.19,37.02,610.49,Campo Grande,GO,2022-01-10
CLI_00000108,45,F,2399.31,600.49,308.77,Vilhena,MS,2020-06-17
CLI_00000109,38,M,15552.4,775.0,291.37,Rondonopolis,RO,2024-06-07
CLI_00000110,20,M,9292.39,44.17,285.45,Sao Paulo,MT,2024-12-21
CLI_00000111,42,F,20688.23,408.99,155.24,Cuiaba,MS,2020-08-18
CLI_00000112,77,F,10914.45,795.84,450.68,Rondonopolis,RO,2021-11-18
CLI_00000113,27,X,5095.81,695.41,196.71,Sao Paulo,GO,2020-05-24
CLI_00000114,61,M,11111.4,864.25,365.74,Sao Paulo,MS,2023-12-13
CLI_00000115,42,F,11533.11,156.57,349.4,Vilhena,SP,2023-03-05
CLI_00000116,17,F,14326.84,640.67,342.75,Goiania,MT,2024-10-12
CLI_00000117,80,F,4672.11,283.3,0,Cuiaba,GO,2023-04-10
CLI_00000118,32,F,24418.01,482.74,254.69,Cuiaba,RO,2023-02-23
CLI_00000119,36,X,19902.65,222.08,60.41,Goiania,MS,2024-04-02
CLI_00000120,67,X,4924.2,359.21,463.96,Campo Grande,MS,2021-01-18
CLI_00000121,20,X,21149.26,117.73,146.3,Rondonopolis,SP,2023-05-19
CLI_00000122,47,M,10463.25,367.45,189.03,Vilhena,GO,2021-01-01
CLI_00000123,78,M,6798.97,763.57,331.1,Campo Grande,GO,2023-02-03
CLI_00000124,32,M,11448.26,91.71,136.85,Goiania,RO,2024-11-02
CLI_00000125,21,X,4300.45,922.13,206.66,Cuiaba,MT,2024-07-21
CLI_00000126,33,F,21598.27,996.12,520.53,Rondonopolis,MT,2021-03-16
CLI_00000127,52,F,17529.99,721.08,351.21,Vilhena,SP,2021-06-20
CLI_00000128,51,M,4617.02,502.22,579.15,Goiania,MS,2024-05-20
CLI_00000129,80,F,8794.04,36.83,336.81,Sao Paulo,SP,2023-03-26
CLI_00000130,49,F,19484.72,48.57,380.97,Sao Paulo,GO,2024-09-19
CLI_00000131,29,M,24832.32,629.78,88.89,Sao Paulo,GO,2022-10-05
CLI_00000132,62,M,19398.41,442.28,465.34,Campo Grande,RO,2020-05-27
CLI_00000133,48,M,16413.86,984.06,110.01,Sao Paulo,MT,2020-04-05
CLI_00000134,53,X,16089.71,417.69,186.23,Sao Paulo,MT,2021-08-08
CLI_00000135,21,F,2494.55,567.12,239.53,Vilhena,MS,2023-10-10
CLI_00000136,33,F,9916.38,828.47,472.23,Campo Grande,MS,2020-04-23
CLI_00000137,35,M,3480.15,638.21,480.8,Goiania,SP,2020-01-21
CLI_00000138,60,X,16565.38,443.75,110.56,Vilhena,GO,2021-03-01
CLI_00000139,21,F,13850.35,405.99,304.03,Cuiaba,MT,2024-09-22
CLI_00000140,41,F,11033.64,518.26,351.87,Rondonopolis,RO,2023-10-06
CLI_00000141,55,F,8346.33,48.49,501.35,Rondonopolis,RO,2020-07-28
CLI_00000142,71,X,22911.78,80.48,132.05,Rondonopolis,GO,2021-04-04
CLI_00000143,49,F,16527.67,123.27,564.92,Sao Paulo,MT,2022-11-18
CLI_00000144,71,X,19965.11,523.24,84.39,Sao Paulo,SP,2021-02-17
CLI_00000145,17,F,7396.77,236.11,286.12,Rondonopolis,SP,2021-07-11
CLI_00000146,46,M,22800.13,630.7,0,Rondonopolis,RO,2023-08-27
CLI_00000147,16,F,11605.69,724.62,183.71,Campo Grande,GO,2024-10-03
CLI_00000148,37,F,1983.34,111.89,244.97,Vilhena,MS,2022-03-23
CLI_00000149,19,F,2191.26,692.63,145.48,Rondonopolis,MT,2020-10-25
CLI_00000150,62,F,20657.97,819.56,127.21,Rondonopolis,MT,2023-02-08
CLI_00000151,42,F,3864.88,34.43,458.0,Rondonopolis,MT,2022-08-04
CLI_00000152,32,F,20048.82,646.32,75.84,Sao Paulo,SP,2022-07-09
CLI_00000153,18,M,7309.51,282.59,269.32,Sao Paulo,RO,2024-08-28
CLI_00000154,52,X,18946.59,789.06,159.61,Cuiaba,GO,2024-02-12
CLI_00000155,76,X,2345.19,566.1,237.57,Vilhena,SP,2021-07-01
CLI_00000156,41,M,19339.91,977.87,25.65,Cuiaba,SP,2023-02-16
CLI_00000157,39,M,15302.81,957.21,103.85,Campo Grande,SP,2021-12-08
CLI_00000158,79,F,3816.17,636.53,281.28,Cuiaba,GO,2024-02-21
CLI_00000159,57,M,3464.53,928.5,492.95,Goiania,MT,2022-04-10
CLI_00000160,49,M,22648.93,501.19,144.11,Goiania,MS,2023-03-18
CLI_00000161,20,M,15041.63,521.73,410.82,Vilhena,SP,2021-08-15
CLI_00000162,48,X,6698.38,334.05,178.98,Rondonopolis,MS,2024-04-09
CLI_00000163,54,X,20871.27,617.33,232.15,Rondonopolis,SP,2024-09-12
CLI_00000164,36,F,9008.19,189.27,0,Rondonopolis,MT,2021-11-04
CLI_00000165,41,M,4792.85,148.32,259.47,Sao Paulo,MS,2020-11-04
CLI_00000166,51,F,22268.91,463.92,419.34,Cuiaba,GO,2023-12-08
CLI_00000167,80,X,8249.88,22.12,288.87,Cuiaba,MS,2023-12-19
CLI_00000168,69,F,17095.92,652.49,545.34,Rondonopolis,RO,2021-11-06
CLI_00000169,31,M,11494.19,259.81,202.88,Campo Grande,GO,2021-05-28
CLI_00000170,70,M,12033.63,621.57,0,Goiania,RO,2021-11-11
CLI_00000171,17,M,20998.54,908.19,389.55,Campo Grande,MS,2021-09-12
CLI_00000172,28,X,12071.48,204.98,370.71,Goiania,RO,2020-11-26
CLI_00000173,63,X,9359.87,742.11,0,Campo Grande,GO,2024-02-24
CLI_00000174,61,X,2547.52,274.36,422.12,Goiania,MT,2020-02-14
CLI_00000175,69,X,17818.41,352.13,289.83,Rondonopolis,GO,2024-04-26
CLI_00000176,66,M,6245.9,129.3,406.46,Cuiaba,MS,2023-11-18
CLI_00000177,44,F,9604.53,638.8,415.57,Goiania,SP,2024-11-05
CLI_00000178,76,M,19849.52,230.45,49.27,Rondonopolis,GO,2022-07-22
CLI_00000179,39,M,1264.14,721.79,278.09,Sao Paulo,SP,2023-08-14
CLI_00000180,26,X,22548.92,152.75,410.29,Sao Paulo,GO,2020-02-27
CLI_00000181,57,F,13829.42,345.15,109.28,Campo Grande,MT,2022-05-20
CLI_00000182,28,X,4597.03,233.64,191.29,Goiania,SP,2021-04-13
CLI_00000183,37,X,22409.02,608.37,343.53,Vilhena,SP,2021-08-23
CLI_00000184,43,X,3071.04,839.28,81.4,Rondonopolis,MT,2024-02-09
CLI_00000185,69,F,20883.88,473.24,138.39,Campo Grande,GO,2021-08-06
CLI_00000186,16,F,21210.27,467.96,239.28,Vilhena,GO,2022-08-12
CLI_00000187,70,M,24998.82,675.95,359.96,Rondonopolis,MT,2020-10-02
CLI_00000188,58,F,13352.89,484.68,428.51,Campo Grande,MT,2021-12-14
CLI_00000189,32,M,3448.27,659.02,158.64,Vilhena,MS,2022-07-11
CLI_00000190,70,M,14385.86,826.72,518.75,Sao Paulo,SP,2023-07-11
CLI_00000191,80,M,21976.56,344.81,350.26,Cuiaba,SP,2021-06-23
CLI_00000192,54,F,15157.54,634.82,467.24,Cuiaba,GO,2024-07-18
CLI_00000193,22,M,8349.67,6.21,424.67,Vilhena,MT,2024-09-20
CLI_00000194,64,X,4699.83,673.7,614.53,Rondonopolis,RO,2020-04-02
CLI_00000195,74,X,19351.66,101.36,317.23,Cuiaba,MT,2022-03-26
CLI_00000196,55,X,18101.16,862.45,337.4,Campo Grande,GO,2020-06-01
CLI_00000197,71,X,16474.0,933.86,482.89,Cuiaba,MT,2023-10-23
CLI_00000198,67,M,2799.81,679.96,365.35,Vilhena,RO,2021-08-25
CLI_00000199,68,X,3628.63,644.51,320.21,Cuiaba,GO,2020-01-22
CLI_00000200,31,F,6394.24,121.35,383.66,Goiania,MT,2022-12-19
CLI_00000201,47,M,18658.67,187.41,545.98,Rondonopolis,MS,2020-05-21
CLI_00000202,79,M,17135.08,890.01,380.16,Cuiaba,MT,2020-01-01
CLI_00000203,26,M,8603.29,729.44,450.07,Goiania,RO,2020-06-12
CLI_00000204,72,M,17309.73,144.91,557.42,Cuiaba,SP,2021-11-26
CLI_00000205,69,M,10380.55,786.24,547.27,Vilhena,SP,2022-05-02
CLI_00000206,58,X,18471.88,15.5,210.84,Campo Grande,RO,2022-10-14
CLI_00000207,47,M,10419.09,376.2,314.73,Goiania,SP,2020-06-09
CLI_00000208,50,M,4943.27,920.6,191.37,Cuiaba,SP,2021-10-05
CLI_00000209,51,X,17494.4,913.75,263.84,Vilhena,GO,2023-04-26
CLI_00000210,45,M,15644.18,677.66,351.9,Goiania,MS,2022-10-25
CLI_00000211,17,M,12141.28,87.7,389.79,Campo Grande,GO,2024-09-09
CLI_00000212,57,M,13246.81,201.87,58.13,Campo Grande,MS,2020-03-26
CLI_00000213,53,M,14953.21,358.89,354.77,Campo Grande,MT,2023-06-28
CLI_00000214,29,M,16259.27,787.35,9.3,Campo Grande,SP,2024-01-12
CLI_00000215,51,X,15649.85,94.08,385.31,Vilhena,GO,2024-10-07
CLI_00000216,49,M,11337.61,946.5,591.2,Vilhena,RO,2021-05-27
CLI_00000217,20,M,5983.54,180.74,341.98,Vilhena,SP,2023-08-28
CLI_00000218,24,X,16428.24,922.15,324.35,Rondonopolis,MT,2022-06-19
CLI_00000219,45,X,3336.84,920.89,204.81,Campo Grande,SP,2021-12-08
CLI_00000220,38,F,23612.79,941.17,296.11,Cuiaba,RO,2020-01-09
CLI_00000221,77,F,3605.15,317.68,399.85,Rondonopolis,SP,2024-10-15
CLI_00000222,29,M,8909.26,257.01,303.63,Cuiaba,SP,2023-07-06
CLI_00000223,72,F,20419.79,914.3,431.28,Campo Grande,MT,2021-04-03
CLI_00000224,63,X,4526.35,447.25,194.38,Cuiaba,GO,2020-11-03
CLI_00000225,73,M,8877.06,233.88,407.06,Sao Paulo,MS,2020-03-23
CLI_00000226,73,X,22365.74,438.97,395.12,Campo Grande,SP,2023-07-08
CLI_00000227,35,F,7652.35,839.56,253.96,Goiania,MT,2022-08-16
CLI_00000228,30,F,24491.2,56.85,378.4,Rondonopolis,MS,2024-08-27
CLI_00000229,52,F,7335.48,201.62,0,Campo Grande,MS,2020-07-10
CLI_00000230,69,F,2568.08,726.47,646.82,Sao Paulo,MS,2020-08-26
CLI_00000231,80,M,13356.67,443.01,388.51,Sao Paulo,MS,2022-07-02
CLI_00000232,68,F,7788.96,180.69,0,Campo Grande,RO,2021-12-06
CLI_00000233,41,X,3086.55,87.42,163.8,Sao Paulo,MS,2021-03-20
CLI_00000234,40,X,8531.46,10.04,189.39,Rondonopolis,RO,2023-12-02
CLI_00000235,60,M,7905.83,639.18,361.5,Goiania,GO,2021-11-09
CLI_00000236,47,F,14602.44,985.71,278.14,Cuiaba,MS,2022-10-20
CLI_00000237,16,M,13571.79,445.77,224.26,Rondonopolis,MS,2022-12-28
CLI_00000238,64,X,19081.32,61.21,292.54,Cuiaba,GO,2023-09-01
CLI_00000239,33,F,6996.2,88.59,233.35,Sao Paulo,SP,2024-01-01
CLI_00000240,28,X,18782.22,261.42,238.13,Vilhena,RO,2023-09-08
CLI_00000241,72,F,9546.65,93.91,351.7,Goiania,GO,2024-09-25
CLI_00000242,51,F,4104.49,405.65,408.05,Campo Grande,RO,2024-04-28
CLI_00000243,45,F,17116.86,462.05,9.36,Cuiaba,GO,2023-10-27
CLI_00000244,20,M,24297.7,51.97,520.77,Sao Paulo,SP,2023-04-27
CLI_00000245,58,X,11566.85,981.22,411.01,Goiania,RO,2020-06-17
CLI_00000246,34,X,23437.13,249.28,0,Goiania,MT,2022-02-17
CLI_00000247,39,F,8919.54,200.78,247.84,Goiania,GO,2023-11-02
CLI_00000248,21,F,21801.44,620.93,206.32,Rondonopolis,RO,2022-11-18
CLI_00000249,20,X,3592.0,121.7,409.83,Cuiaba,SP,2020-05-12
CLI_00000250,37,F,2636.07,959.08,309.45,Vilhena,SP,2020-08-19
CLI_00000251,34,M,4149.3,131.37,258.55,Sao Paulo,SP,2021-12-03
CLI_00000252,52,M,15716.87,570.18,447.52,Rondonopolis,GO,2021-09-23
CLI_00000253,62,M,22425.06,303.7,25.42,Cuiaba,MS,2022-04-07
CLI_00000254,65,X,10635.61,924.19,338.45,Campo Grande,MS,2022-09-11
CLI_00000255,78,M,7978.72,987.51,227.24,Campo Grande,RO,2020-10-28
CLI_00000256,60,M,16853.69,517.0,547.51,Goiania,SP,2020-09-08
CLI_00000257,35,M,9220.98,352.45,206.14,Sao Paulo,RO,2020-12-28
CLI_00000258,76,M,19881.63,708.55,114.81,Rondonopolis,MS,2023-02-01
CLI_00000259,68,X,15142.86,497.88,490.08,Goiania,SP,2024-10-04
CLI_00000260,64,M,17684.91,288.06,254.67,Sao Paulo,SP,2022-07-17
CLI_00000261,65,X,8863.45,787.08,403.35,Goiania,SP,2021-09-10
CLI_00000262,34,M,14895.3,581.58,156.93,Cuiaba,SP,2022-10-27
CLI_00000263,47,M,6062.57,426.45,318.61,Cuiaba,SP,2024-08-10
CLI_00000264,55,X,15955.81,437.16,288.28,Vilhena,GO,2023-08-12
CLI_00000265,21,X,17294.19,453.07,356.29,Campo Grande,MT,2023-06-17
CLI_00000266,67,X,14559.86,574.05,303.68,Campo Grande,GO,2023-07-15
CLI_00000267,59,X,13817.3,815.89,362.71,Cuiaba,SP,2024-03-04
CLI_00000268,53,X,9371.85,935.39,415.31,Vilhena,GO,2021-09-10
CLI_00000269,42,X,22456.76,412.26,479.86,Cuiaba,SP,2024-11-21
CLI_00000270,21,X,10991.74,787.64,371.43,Sao Paulo,RO,2020-05-13
CLI_00000271,28,X,1567.5,29.53,416.29,Vilhena,SP,2024-09-05
CLI_00000272,41,M,15521.46,145.35,528.93,Vilhena,RO,2020-01-04
CLI_00000273,25,F,23758.5,490.43,144.1,Cuiaba,MT,2024-06-05
CLI_00000274,46,M,7755.66,32.89,332.27,Rondonopolis,MT,2024-02-12
CLI_00000275,40,M,16051.27,19.55,328.18,Cuiaba,GO,2020-10-08
CLI_00000276,47,F,2246.69,930.82,447.96,Campo Grande,SP,2020-08-10
CLI_00000277,69,X,7196.83,886.83,355.63,Rondonopolis,GO,2024-04-14
CLI_00000278,55,M,22032.33,484.39,292.81,Campo Grande,MT,2021-03-12
CLI_00000279,64,F,1381.63,882.3,186.89,Sao Paulo,RO,2023-06-13
CLI_00000280,24,F,11250.19,912.99,386.58,Vilhena,MS,2023-04-15
CLI_00000281,52,M,6844.76,34.92,229.68,Campo Grande,MS,2021-02-07
CLI_00000282,50,X,21073.19,127.79,182.32,Goiania,GO,2021-03-12
CLI_00000283,61,F,18394.7,376.89,398.98,Goiania,RO,2021-04-28
CLI_00000284,73,X,4316.49,706.47,273.53,Sao Paulo,RO,2023-10-12
CLI_00000285,47,M,15675.25,212.54,353.39,Vilhena,MT,2024-05-24
CLI_00000286,65,F,16849.01,567.68,244.82,Sao Paulo,MT,2023-12-03
CLI_00000287,38,F,8840.68,662.75,449.31,Sao Paulo,RO,2022-04-03
CLI_00000288,55,F,6588.91,126.13,421.88,Rondonopolis,GO,2022-06-13
CLI_00000289,75,X,22209.59,861.28,381.41,Cuiaba,SP,2022-07-01
CLI_00000290,75,F,24998.56,400.53,389.1,Rondonopolis,MT,2021-05-04
CLI_00000291,50,X,18670.47,712.59,341.48,Campo Grande,GO,2021-05-05
CLI_00000292,64,X,2133.77,310.92,310.78,Rondonopolis,MS,2024-04-19
CLI_00000293,79,X,13594.55,925.69,205.58,Cuiaba,MT,2022-01-28
CLI_00000294,22,F,17409.44,37.13,127.9,Sao Paulo,MS,2022-12-03
CLI_00000295,69,X,18905.61,998.11,220.67,Vilhena,MT,2022-07-15
CLI_00000296,59,X,13173.18,688.41,229.76,Rondonopolis,GO,2024-01-22
CLI_00000297,42,M,17220.28,846.56,330.71,Campo Grande,MT,2024-05-06
CLI_00000298,36,X,6816.88,260.28,128.79,Cuiaba,MS,2022-06-14
CLI_00000299,27,F,16348.83,137.19,232.46,Goiania,MS,2021-01-17
CLI_00000300,72,F,23473.08,351.46,140.55,Sao Paulo,MS,2021-10-19
CLI_00000301,46,M,16179.76,117.97,0,Rondonopolis,MS,2024-08-27
CLI_00000302,67,F,3924.58,289.34,462.85,Sao Paulo,GO,2021-01-02
CLI_00000303,51,M,5891.29,701.62,230.43,Sao Paulo,GO,2023-10-12
CLI_00000304,53,F,14469.25,45.58,323.57,Goiania,GO,2020-12-23
CLI_00000305,58,X,14614.95,108.8,140.29,Campo Grande,RO,2022-01-12
CLI_00000306,27,X,8006.16,613.36,311.18,Rondonopolis,SP,2021-02-05
CLI_00000307,19,F,19631.64,839.58,272.41,Rondonopolis,RO,2021-02-26
CLI_00000308,55,X,15879.72,379.38,392.11,Rondonopolis,SP,2022-04-12
CLI_00000309,33,X,23089.16,837.82,298.85,Cuiaba,RO,2023-01-07
CLI_00000310,79,M,13088.82,157.48,351.71,Sao Paulo,RO,2024-11-03
CLI_00000311,34,X,6614.48,138.3,200.77,Cuiaba,GO,2023-04-07
CLI_00000312,63,F,1962.11,610.74,184.91,Vilhena,GO,2021-05-03
CLI_00000313,23,X,18116.51,890.62,318.41,Campo Grande,MS,2023-05-01
CLI_00000314,72,X,17271.22,567.52,307.66,Goiania,MT,2024-06-17
CLI_00000315,74,M,24316.84,908.71,569.33,Vilhena,RO,2020-01-24
CLI_00000316,58,X,16870.78,565.02,0,Goiania,SP,2023-11-21
CLI_00000317,33,M,21793.25,530.4,105.7,Campo Grande,GO,2020-03-22
CLI_00000318,63,X,15022.28,416.38,83.08,Vilhena,MS,2024-08-13
CLI_00000319,49,F,6608.42,968.53,372.94,Campo Grande,SP,2020-04-17
CLI_00000320,48,X,12844.8,554.02,538.82,Campo Grande,RO,2024-12-04
CLI_00000321,26,M,17371.94,800.33,417.92,Vilhena,MT,2024-02-15
CLI_00000322,66,X,5275.87,960.03,432.55,Vilhena,GO,2020-03-12
CLI_00000323,23,M,6838.27,372.35,500.57,Campo Grande,GO,2022-02-23
CLI_00000324,33,M,22823.14,87.71,319.18,Campo Grande,RO,2020-12-28
CLI_00000325,61,F,9934.18,841.47,381.64,Cuiaba,SP,2020-04-12
CLI_00000326,61,X,12837.92,816.55,69.18,Sao Paulo,MT,2022-09-11
CLI_00000327,30,F,23223.5,675.22,297.16,Goiania,MT,2024-08-04
CLI_00000328,18,M,3827.93,800.69,398.23,Campo Grande,MS,2024-05-28
CLI_00000329,64,F,15201.91,250.26,553.91,Sao Paulo,GO,2020-01-11
CLI_00000330,35,M,13142.24,873.06,295.64,Cuiaba,MT,2021-10-27
CLI_00000331,66,M,24227.2,692.92,197.36,Vilhena,RO,2020-06-11
CLI_00000332,43,M,22476.83,589.22,334.36,Cuiaba,MS,2021-06-24
